FUND_NAME,DEVISE_FONDS,PORTFOLIO_IK_PASSIF,SECURITY_ISIN,SECURITY_ID,SECURITY_NAME,DEVISE_PART,PORTEFEUILLE_HEDGE,DATE_DAYS,DATE_LIVE,DATE_CLOTURE,FX_RATE_PROFILE,Benchmark1 Code,Benchmark1 Name
Edmond de Rothschild Fund Emerging Credit,USD,45685,LU1790342049,ERECACH LX,EdR Fund Emerging Credit A - CHF (H),CHF,Hedge,2018-04-03 00:00:00.000,2018-04-04 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_C,100% JPM CEMBI Broad Diversified Composite Index H CHF 
Edmond de Rothschild Fund Emerging Credit,USD,13497,LU1080015693,ERECAAE LX,EdR Fund Emerging Credit A - EUR (H),EUR,Hedge,2014-07-15 00:00:00.000,2014-07-16 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_E,100% JPM CEMBI Broad Diversified Composite Index H EUR 
Edmond de Rothschild Fund Emerging Credit,USD,13500,LU1080015420,ERECAAU LX,EdR Fund Emerging Credit A - USD,USD,Pas de hedge,2009-05-25 00:00:00.000,2014-07-16 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD,100% JPM CEMBI Broad Diversified Composite Index 
Edmond de Rothschild Fund Emerging Credit,USD,13498,LU1080015859,ERECBIE LX,EdR Fund Emerging Credit B - EUR (H),EUR,Hedge,2014-07-15 00:00:00.000,2014-07-16 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_E,100% JPM CEMBI Broad Diversified Composite Index H EUR 
Edmond de Rothschild Fund Emerging Credit,USD,13501,LU1080015776,ERECBIU LX,EdR Fund Emerging Credit B - USD,USD,Pas de hedge,2009-05-25 00:00:00.000,2014-07-16 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD,100% JPM CEMBI Broad Diversified Composite Index 
Edmond de Rothschild Fund Emerging Credit,USD,45708,LU1234750898,ERECREH LX,EdR Fund Emerging Credit CR - EUR (H),EUR,Hedge,2018-04-03 00:00:00.000,2018-04-04 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_E,100% JPM CEMBI Broad Diversified Composite Index H EUR 
Edmond de Rothschild Fund Emerging Credit,USD,45493,LU1790340423,ERECRUS LX,EdR Fund Emerging Credit CR - USD,USD,Pas de hedge,2019-09-06 00:00:00.000,2019-09-07 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD,100% JPM CEMBI Broad Diversified Composite Index 
Edmond de Rothschild Fund Emerging Credit,USD,48085,LU1790342395,ERECICH LX,EdR Fund Emerging Credit I - CHF (H),CHF,Hedge,2018-08-14 00:00:00.000,2018-08-15 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_C,100% JPM CEMBI Broad Diversified Composite Index H CHF 
Edmond de Rothschild Fund Emerging Credit,USD,13499,LU1080016071,ERECIAE LX,EdR Fund Emerging Credit I - EUR (H),EUR,Hedge,2014-12-02 00:00:00.000,2014-12-03 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_E,100% JPM CEMBI Broad Diversified Composite Index H EUR 
Edmond de Rothschild Fund Emerging Credit,USD,13502,LU1080015933,ERECIAU LX,EdR Fund Emerging Credit I - USD,USD,Pas de hedge,2010-09-16 00:00:00.000,2014-07-16 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD,100% JPM CEMBI Broad Diversified Composite Index 
Edmond de Rothschild Fund Emerging Credit,USD,43789,LU1564424452,ERECKUA LX,EdR Fund Emerging Credit K - USD,USD,Pas de hedge,2017-12-22 00:00:00.000,2017-12-23 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD,100% JPM CEMBI Broad Diversified Composite Index 
Edmond de Rothschild Fund Emerging Credit,USD,45785,LU1564424379,EREKDEH LX,EdR Fund Emerging Credit KD - EUR (H),EUR,Hedge,2018-04-17 00:00:00.000,2018-04-18 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_E,100% JPM CEMBI Broad Diversified Composite Index H EUR 
Edmond de Rothschild Fund Emerging Credit,USD,45000,LU1564424023,EDECKDU LX,EdR Fund Emerging Credit KD - USD,USD,Pas de hedge,2019-01-31 00:00:00.000,2019-02-01 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD,100% JPM CEMBI Broad Diversified Composite Index 
Edmond de Rothschild Fund Emerging Credit,USD,19439,LU1276000319,ERECRHE LX,EdR Fund Emerging Credit R - EUR (H),EUR,Hedge,2024-10-10 00:00:00.000,2024-10-11 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_E,100% JPM CEMBI Broad Diversified Composite Index H EUR 
Edmond de Rothschild Fund Emerging Credit,USD,82903,LU2678233599,ERECIRU LX,EdR Fund Emerging Credit R - USD,USD,Pas de hedge,2024-09-26 00:00:00.000,2024-09-27 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD,100% JPM CEMBI Broad Diversified Composite Index 
Edmond de Rothschild Fund Euro High Yield,EUR,18495,LU1218422209,EDRSACH LX,EdR Fund Euro High Yield A - CHF,CHF,Pas de hedge,2016-03-09 00:00:00.000,2016-03-10 00:00:00.000,2022-03-04,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,18494,LU1160363633,EDRSEHA LX,EdR Fund Euro High Yield A - EUR,EUR,Pas de hedge,1997-02-14 00:00:00.000,2015-07-03 00:00:00.000,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,18497,LU1160363476,EDRSUAH LX,EdR Fund Euro High Yield A - USD (H),USD,Hedge,2014-05-26 00:00:00.000,2015-07-03 00:00:00.000,,FIXING 16H,BI_NI_EDR-SIGN-HY_U,100% ICE BofA BB-B Euro Non-Financial HY Const HUSD 
Edmond de Rothschild Fund Euro High Yield,EUR,18498,LU1160363047,EDRSEHB LX,EdR Fund Euro High Yield B - EUR,EUR,Pas de hedge,2012-05-09 00:00:00.000,2015-07-03 00:00:00.000,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,45519,LU1781816373,EDEHCRE LX,EdR Fund Euro High Yield CR - EUR,EUR,Pas de hedge,2018-04-03 00:00:00.000,2018-04-04 00:00:00.000,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,28006,LU1400356025,EDRSICH LX,EdR Fund Euro High Yield I - CHF (H),CHF,Hedge,2016-05-18 00:00:00.000,2016-05-19 00:00:00.000,,FIXING 16H,BI_NI_EDR-SIGN-HY_C,100% ICE BofA BB-B Euro Non-Financial HY Const HCHF 
Edmond de Rothschild Fund Euro High Yield,EUR,18502,LU1160362742,EDRSEHI LX,EdR Fund Euro High Yield I - EUR,EUR,Pas de hedge,2010-01-29 00:00:00.000,2015-07-03 00:00:00.000,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
